GeoType;GEOID;name;TotalPop;happening;happeningOppose;real_parthuman;real_parthumanOppose;real_human;real_humanOppose;captrade_bin;captrade_binOppose;carbon_tax_bin;carbon_tax_binOppose
Riding;24001;Abitibi-Baie-James-Nunavik-Eeyou;56295;78.149;15.682;52.619;47.381;38.48;61.52;67.115;25.58;41.476;51.486
Riding;24002;Abitibi-Temiscamingue;68390;83.095;13.305;60.302;39.698;43.678;56.322;69.88;23.221;41.928;50.938
Riding;24003;Ahuntsic-Cartierville;76725;88.656;6.741;74.415;25.585;59.785;40.215;73.149;19.253;61.191;32.088
Riding;24004;Alfred-Pellan;65965;87.205;9.18;72.431;27.569;56.851;43.149;71.819;21.273;50.12;43.136
Riding;24005;Argenteuil-La Petite-Nation;65840;84.698;10.742;65.107;34.893;52.485;47.515;70.26;22.451;46.612;46.917
Riding;24006;Avignon-La Mitis-Matane-Matapedia;50475;83.639;11.223;63.531;36.469;52.464;47.536;70.242;22.492;45.584;47.304
Riding;24007;Beauce;69535;73.716;18.435;54.607;45.393;42.462;57.538;62.911;28.414;36.031;57.901
Riding;24008;Beauport-Limoilou;63130;82.644;11.26;62.634;37.366;50.476;49.524;68.783;23.101;45.966;47.438
Riding;24009;Becancour-Nicolet-Saurel;62875;83.989;11.195;66.04;33.96;52.196;47.804;70.327;22.415;43.498;50.529
Riding;24010;Bellechasse-Les Etchemins-Levis;73320;78.093;16.118;58.376;41.624;44.609;55.391;64.848;26.867;40.314;52.572
Riding;24011;Beloeil-Chambly;69590;88.702;9.082;74.012;25.988;57.661;42.339;72.381;20.838;48.036;45.982
Riding;24012;Berthier-Maskinonge;66665;85.502;10.83;68.335;31.665;54.162;45.838;70.477;22.142;44.39;49.926
Riding;24013;Therese-De Blainville;63135;87.884;9.268;72.754;27.246;57.652;42.348;72.037;21.038;48.903;44.979
Riding;24014;Pierre-Boucher-Les Patriotes-Vercheres;62220;87.815;9.141;73.017;26.983;58.298;41.702;72.461;20.856;49.274;44.816
Riding;24015;Bourassa;67610;86.91;7.523;70.109;29.891;58.17;41.83;71.988;19.736;56.329;36.722
Riding;24016;Brome-Missisquoi;69920;86.688;10.023;70.172;29.828;54.181;45.819;71.169;21.91;48.879;44.003
Riding;24017;Brossard-Saint-Lambert;72945;88.37;7.34;74.245;25.755;58.855;41.145;72.696;20.091;57.828;36.426
Riding;24018;Rimouski-Neigette-Temiscouata-Les Basques;55885;84.575;10.972;66.293;33.707;53.554;46.446;70.455;22.297;44.182;50.551
Riding;24019;Charlesbourg-Haute-Saint-Charles;67155;82.275;12.641;65.448;34.552;50.255;49.745;67.982;24.249;43.779;49.939
Riding;24020;Beauport-Cote-de-Beaupre-Ile d'Orleans-Charlevoix;60885;83.156;12.26;65.225;34.775;51.442;48.558;68.963;23.592;43.659;50.178
Riding;24021;Chateauguay-Lacolle;62670;86.484;10.03;70.906;29.094;55.632;44.368;71.033;22.013;47.266;45.939
Riding;24022;Chicoutimi-Le Fjord;54540;82.28;13.518;65.79;34.21;48.492;51.508;68.351;24.344;41.786;51.313
Riding;24023;Compton-Stanstead;67170;85.889;10.204;69.564;30.436;54.338;45.662;71.186;21.998;47.645;46.161
Riding;24024;Dorval-Lachine-LaSalle;79065;86.992;8.044;72.906;27.094;57.409;42.591;71.708;21.125;57.815;35.026
Riding;24025;Drummond;64025;83.946;11.287;63.978;36.022;52.328;47.672;69.95;22.606;45.61;47.824
Riding;24026;Gaspesie-Les Iles-de-la-Madeleine;112560;83.096;12.391;63.386;36.614;51.346;48.654;68.993;23.473;45.17;47.612
Riding;24027;Gatineau;72435;87.332;8.936;71.138;28.862;57.251;42.749;72.121;20.71;49.376;43.262
Riding;24028;Hochelaga;73855;87.32;7.107;72.042;27.958;58.358;41.642;72.619;19.384;59.631;33.525
Riding;24029;Honore-Mercier;72195;85.735;8.917;69.363;30.637;56.602;43.398;71.329;21.224;53.017;40.028
Riding;24030;Hull-Aylmer;74350;88.631;7.542;75.286;24.714;59.337;40.663;72.883;20;57.388;36.1
Riding;24031;Joliette;68835;86.423;9.845;68.729;31.271;55.5;44.5;71.228;21.368;48.528;44.913
Riding;24032;Jonquiere;56145;79.943;15.474;59.31;40.69;45.845;54.155;66.431;26.045;40.054;53.395
Riding;24033;La Pointe-de-l'Ile;71185;87.502;8.491;71.877;28.123;57.257;42.743;71.992;20.335;53.125;40.24
Riding;24034;La Prairie;64780;88.74;9.21;74.808;25.192;58.485;41.515;72.172;21.049;49.304;44.049
Riding;24035;Lac-Saint-Jean;68150;73.925;17.378;52.371;47.629;41.764;58.236;64.417;27.447;37.687;55.301
Riding;24036;Lac-Saint-Louis;82050;84.613;9.91;70.379;29.621;53.427;46.573;70.016;23.669;53.691;39.765
Riding;24037;LaSalle-Emard-Verdun;78630;86.931;7.396;68.953;31.047;57.482;42.518;72.36;20.068;58.166;35.134
Riding;24038;Laurentides-Labelle;76820;86.944;9.694;70.454;29.546;55.873;44.127;71.526;21.358;48.062;45.466
Riding;24039;Laurier-Sainte-Marie;83660;90.03;5.245;78.421;21.579;62.887;37.113;74.539;17.865;69.064;25.101
Riding;24040;Laval-Les Iles;70670;87.69;8.989;70.445;29.555;55.378;44.622;71.185;21.678;51.436;41.46
Riding;24041;Longueuil-Charles-LeMoyne;74575;86.922;8.341;71.372;28.628;56.463;43.537;71.715;20.613;53.02;40.761
Riding;24042;Levis-Lotbiniere;67245;79.615;15.16;62.222;37.778;47.502;52.498;66.09;26.216;42.081;51.441
Riding;24043;Longueuil-Saint-Hubert;70970;87.817;8.367;72.171;27.829;57.375;42.625;72.362;20.283;50.913;43.29
Riding;24044;Louis-Hebert;71790;84.855;9.817;70.618;29.382;55.222;44.778;70.957;21.923;52.377;40.306
Riding;24045;Louis-Saint-Laurent;70035;80.012;14.045;61.156;38.844;48.031;51.969;66.705;25.448;41.049;53.673
Riding;24046;Manicouagan;192540;84.254;13.318;53.615;46.385;43.132;56.868;69.604;23.408;40.731;54.111
Riding;24047;Megantic-L'Erable;58930;70.492;19.583;47.594;52.406;37.76;62.24;62.507;28.802;36.836;55.77
Riding;24048;Mirabel;64260;87.746;9.737;71.271;28.729;55.547;44.453;71.556;21.356;47.087;46.87
Riding;24049;Montarville;61505;88.224;9.01;74.636;25.364;58.865;41.135;72.47;20.87;48.788;44.859
Riding;24050;Montcalm;64575;87.256;9.85;69.85;30.15;55.96;44.04;71.506;21.292;43.81;51.287
Riding;24051;Montmagny-L'Islet-Kamouraska-Riviere-du-Loup;64335;76.229;16.377;53.217;46.783;42.384;57.616;65.44;26.408;38.901;54.779
Riding;24052;Mount Royal;75655;85.415;7.548;71.037;28.963;52.668;47.332;69.362;21.913;65.101;27.949
Riding;24053;Notre-Dame-de-Grace-Westmount;82325;87.901;6.47;74.997;25.003;58.046;41.954;72.78;20.182;65.219;28.689
Riding;24054;Outremont;75205;89.799;5.174;78.033;21.967;61.829;38.171;74.395;17.964;69.828;24.415
Riding;24055;Papineau;79900;89.137;5.884;75.728;24.272;59.294;40.706;73.405;18.412;64.304;29.131
Riding;24056;Pierrefonds-Dollard;81445;85.636;8.898;70.623;29.377;53.225;46.775;70.098;22.679;55.905;37.538
Riding;24057;Pontiac;74945;83.727;11.299;66.911;33.089;51.256;48.744;69.11;23.719;48.697;43.985
Riding;24058;Portneuf-Jacques-Cartier;66410;83.205;13.006;66.23;33.77;50.766;49.234;68.391;24.344;43.243;50.757
Riding;24059;Quebec;68930;85.962;9.102;70.512;29.488;55.618;44.382;71.008;21.283;53.878;38.833
Riding;24060;Repentigny;72910;87.955;9.475;70.313;29.687;57.119;42.881;72.049;21.02;45.221;49.89
Riding;24061;Richmond-Arthabaska;67735;82.103;12.763;61.69;38.31;48.794;51.206;68.27;24.002;42.433;50.649
Riding;24062;Riviere-des-Mille-Iles;68115;87.739;9.148;71.602;28.398;56.44;43.56;71.745;21.118;48.519;45.838
Riding;24063;Riviere-du-Nord;67795;87.805;9.644;72.707;27.293;56.496;43.504;71.572;21.126;46.222;47.649
Riding;24064;Rosemont-La Petite-Patrie;77320;89.909;6.081;78.508;21.492;62.339;37.661;74.029;18.262;64.09;29.719
Riding;24065;Marc-Aurele-Fortin;63260;88.128;8.907;73.754;26.246;57.874;42.126;72.171;20.906;50.099;43.427
Riding;24066;Saint-Hyacinthe-Bagot;65480;85.001;10.956;68.444;31.556;52.261;47.739;70.019;22.314;45.904;46.952
Riding;24067;Saint-Jean;71425;87.244;9.959;71.048;28.952;55.689;44.311;71.296;21.486;46.519;47.453
Riding;24068;Saint-Laurent;66925;88.128;6.768;74.379;25.621;56.729;43.271;71.736;20.1;62.916;30.225
Riding;24069;Saint-Leonard-Saint-Michel;76905;86.119;7.836;68.306;31.694;55.236;44.764;71.24;20.394;58.26;34.515
Riding;24070;Saint-Maurice-Champlain;74185;83.664;11.629;66.226;33.774;53.036;46.964;69.647;22.932;43.6;50.208
Riding;24071;Salaberry-Suroit;73555;85.807;11.203;68.758;31.242;53.044;46.956;70.425;22.512;45.132;48.345
Riding;24072;Shefford;71895;85.671;10.412;67.344;32.656;54.158;45.842;70.477;21.965;45.238;48.277
Riding;24073;Sherbrooke;72630;87.559;8.636;71.029;28.971;57.494;42.506;72.214;20.471;53.362;39.082
Riding;24074;Vaudreuil-Soulanges;76520;87.368;9.826;71.769;28.231;55.483;44.517;71.047;22.426;49.646;44.054
Riding;24075;Terrebonne;67765;88.907;9.301;75.053;24.947;58.301;41.699;72.043;20.959;47.546;46.652
